Cantidad;Proveedor;Total;Temporada;Fecha;Color;Talle;Familia N1;Familia N2;Familia N3;Categorias;Art.Contenedor;Artículo;Marca
1,00;DESCANSAR S.A.;10.989,00;CLASICO;02/01/2023;VARIOS;UNICO;OUTDOOR Y TIEMPO LIBRE;CAMPING;REPOSERAS;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;644400 - 50008 DESCANSAR REPOSERA 2022;50008 DESCANSAR REPOSERA 2022 VARIOS UNICO;DESCANSAR
1,00;GLOBAL BRANDS S.A.;8.577,50;VERANO;02/01/2023;ROSA;37;CALZADO;SANDALIAS;SANDALIAS PLAYERAS;;643992 - 61690 RIDER SANDALIA PLAY 2022;61690 RIDER SANDALIA PLAY 2022 ROSA 37;RIDER
1,00;GLOBAL BRANDS S.A.;8.577,50;VERANO;02/01/2023;NEGRO;40;CALZADO;SANDALIAS;SANDALIAS PLAYERAS;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;643992 - 61690 RIDER SANDALIA PLAY 2022;61690 RIDER SANDALIA PLAY 2022 NEGRO 40;RIDER
1,00;CIRON S.A. (SAVAGE);10.485,00;VERANO MODA;02/01/2023;PLATA;37;CALZADO;SANDALIAS;SANDALIAS TACO MEDIO;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023|DISCONTINUOS OFERTAS VERANO ;AC-5471760 - BK 76 SAVAGE SANDALIA 2019;BK 76 SAVAGE SANDALIA 2019 PLATA 37;SAVAGE
1,00;ZATEL ADRIAN RAMON (Target);13.115,00;COLEGIAL;02/01/2023;ROJO;UNICO;MARROQUINERIA;MOCHILAS;MOCHILA MODA;;642199 - 21236 LAS OREIRO MOCHILA 2021;21236 LAS OREIRO MOCHILA 2021 ROJO UNICO;LAS OREIRO
1,00;GENERAC TECHNOLOGY MANAGAMENT SA;3.411,00;CLASICO;02/01/2023;VARIOS;UNICO;JUEGOS Y JUGUETES;MUÑECAS Y MUÑECOS;MUÑECA;; - ;B149 POPPI MUÑECA PEDIATRA 2021 VARIOS UNICO;POPPI
2,00;FUN TOYS S.R.L.;5.624,01;VERANO;02/01/2023;VARIOS;UNICO;JUEGOS Y JUGUETES;JUEGOS DE AGUA Y PLAYA;PISTOLA DE AGUA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023; - ;8142 BASE-X MOCHILA CON PISTOLA PELOTA 2021 VARIOS UNICO;BASE-X
1,00;JOSE FREIBERG S.A.C.I.;7.990,01;COLEGIAL;02/01/2023;VARIOS;UNICO;UTILES ESCOLARES Y LIBRERIA GENERAL;ESCOLARES;SET UTILES;; - ;COMBO 4to A 6to FREIBERG UTILES ESCOLARES 2021 VARIOS UNICO;FREIBERG
1,00;ANSOPAZ S.A.;8.270,10;CLASICO;02/01/2023;NEGRO/PLATA;36;CALZADO;BOTINES;BOTINES F5;;643412 - C17I ONITY BOTIN F5 2022;C17I ONITY BOTIN F5 2022 NEGRO/PLATA 36;ONITY
1,00;ENDANIRK S.R.L.(VART);13.640,00;CLASICO;02/01/2023;NEGRO/BLANCO;40;CALZADO;ZAPATILLAS;URBANAS;;643122 - PARK/D VART ZAPATILLA URB 2022;PARK/D VART ZAPATILLA URB 2022 NEGRO/BLANCO 40;VART
