Cantidad;Proveedor;Total;Temporada;Fecha;Color;Talle;Familia N1;Familia N2;Familia N3;Categorias;Art.Contenedor;Artículo;Marca
1,00;INDUMENTARIA PAMPEANA S.A.;11.178,44;CLASICO;04/02/2023;NEGRO/NARANJA;39;CALZADO;BOTINES;BOTINES F5;;641232 - SAKKA86 KIOSHI BOTIN F5 2021;SAKKA86 KIOSHI BOTIN F5 2021 NEGRO/NARANJA 39;KIOSHI
1,00;PRIMER ROUND SRL.;1.662,32;CLASICO;04/02/2023;NEGRO;24;CALZADO;ZAPATILLAS;PANCHA DEPORTIVA;STOCK INMOVILIZADO 2023 ;AC-0830729 - 900 JAGUAR PANCHA DEP 2021;900 JAGUAR ZAPATILLA 2021 NEGRO 24;JAGUAR
1,00;LESEDIFE S.A.;16.599,00;COLEGIAL;04/02/2023;NEGRO;UNICO;MARROQUINERIA;MOCHILAS;MOCHILA;;644513 - 65/010620 WILSON MOCHILA 2022;65/010620 WILSON MOCHILA 2022 NEGRO UNICO;WILSON
1,00;;541,83;CLASICO;04/02/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;;1.809,99;CLASICO;04/02/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);17.824,00;CLASICO;04/02/2023;BLANCO;35;CALZADO;ZAPATILLAS;ZAPATILLAS LUCES;STOCK INMOVILIZADO 2023 ;642608 - 2550/102/23111 MOLEKINHA ZAPATILLA DEP 2022;2550/102/23111 MOLEKINHA ZAPATILLA DEP 2022 BLANCO 35;MOLEKINHA
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);5.848,99;VERANO MODA;04/02/2023;NEGRO;37;CALZADO;SANDALIAS;SANDALIAS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;629070 - 5454/101/375 MOLECA SANDALIA 2020;5454/101/375 MOLECA SANDALIA 2020 NEGRO 37;MOLECA
1,00;SUN SOL S.R.L;2.587,00;VERANO;04/02/2023;ROJO;44;CALZADO;OJOTAS Y CHINELAS;OJOTAS;;629289 - DO1078 DOX OJOTA 2020;DO1078 DOX OJOTA 2020 ROJO 44;DOX
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);5.337,27;VERANO MODA;04/02/2023;NUDE/CHAROL;39;CALZADO;OJOTAS Y CHINELAS;CHINELA MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;AC-5501298 - 5435/412 MOLECA CHINELA 2019;5435/412 MOLECA CHINELA 2019 NUDE/CHAROL 39;MOLECA
1,00;FABINCAL CORDOBA S.A;12.143,08;COLEGIAL;04/02/2023;NEGRO;39;CALZADO;ZAPATO;ZAPATO ESCOLAR;;AC-5440242 - 534 ESCARPINO ZAPATO ABROJO 2019;534 ESCARPINO ZAPATO ABROJO 2019 NEGRO 39;ESCARPINO
1,00;RUNI SRL;17.849,00;CLASICO;04/02/2023;NEGRO;42;CALZADO;ZAPATO;ZAPATO HOMBRES;;644338 - RENZO RUNI ZAPATO 2022;RENZO RUNI ZAPATO 2022 NEGRO 42;RUNI
1,00;ZATEL ADRIAN RAMON (Target);2.699,00;COLEGIAL;04/02/2023;MULTICOLOR;UNICO;UTILES ESCOLARES Y LIBRERIA GENERAL;ESCOLARES;CARTUCHERAS;;644440 - 15478 TRENDY CARTUCHERA 2022;15478 TRENDY CARTUCHERA 2022 MULTICOLOR UNICO;TRENDY
1,00;ZATEL ADRIAN RAMON (Target);9.129,00;CLASICO;04/02/2023;NEGRO;UNICO;MARROQUINERIA;BOLSOS Y CARTERAS;MORRAL;;643969 - 14915 TRENDY MORRAL 2022;14915 TRENDY MORRAL 2022 NEGRO UNICO;TRENDY
1,00;IMPORTADORA BS AS S.R.L.(GUMMI);17.731,12;CLASICO;04/02/2023;NEGRO/VERDE;43;CALZADO;ZAPATILLAS;DEPORTIVAS;6-12 SIN INTERES 6-12 SIN INTERES;641094 - ZAP SYSTEM GUMMI ZAPATILLA DEP 2021;ZAP SYSTEM GUMMI ZAPATILLA DEP 2021 NEGRO/VERDE 43;GUMMI
1,00;CIRON S.A. (SAVAGE);10.499,00;VERANO MODA;04/02/2023;NEGRO;38;CALZADO;ZUECOS;ZUECOS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;641437 - GM 301 SAVAGE ZUECO MODA 2021;GM 301 SAVAGE ZUECO MODA 2021 NEGRO 38;SAVAGE
1,00;PABLO RODRIGO CALFAYAN( PIA VITTELLI);11.493,87;INVIERNO MODA;04/02/2023;NEGRO;37;CALZADO;BOTAS Y BORCEGOS;BOTAS;NICO OPORTUNIDAD JULIO |LIQUIDACION INVIERNO 2023 ;630130 - DENVER PIAVITTELLI BOTA 2021;DENVER PIAVITTELLI BOTA 2021 NEGRO 37;PIAVITTELLI
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);11.996,07;INVIERNO MODA;04/02/2023;NEGRO/BEIGE;39;CALZADO;BOTAS Y BORCEGOS;BOTAS;LIQUIDACION INVIERNO 2023 ;642657 - 3076/103/20197 VIZZANO BOTA CORTA 2022;3076/103/20197 VIZZANO BOTA CORTA 2022 NEGRO/BEIGE 39;VIZZANO
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);6.674,00;VERANO;04/02/2023;NEGRO/AMARILLO;29;CALZADO;SANDALIAS;SANDALIAS PLAYERAS;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;641250 - 2413/105/21125 MOLEKINHO SANDALIA PLAY. 2021;2413/105/21125 MOLEKINHO SANDALIA PLAY. 2021 NEGRO/AMARILLO 29;MOLEKINHO
1,00;ZATEL ADRIAN RAMON (Target);1.869,00;COLEGIAL;04/02/2023;VARIOS;UNICO;UTILES ESCOLARES Y LIBRERIA GENERAL;ESCOLARES;CARTUCHERAS;; - ;9900 TRENDY CARTUCHERA 2021 VARIOS UNICO;TRENDY
1,00;ARIAN S SRL FCA. CALZADO FINO;8.693,08;COLEGIAL;05/02/2023;NEGRO;37;CALZADO;ZAPATO;ZAPATO ESCOLAR;;AC-1080443 - 2956 ARIAN`S ZAPATO 2018;2956 ARIAN`S ZAPATO 2018 NEGRO 37;ARIAN`S
1,00;PIZZONESI S.R.L.;11.562,32;CLASICO;05/02/2023;GRIS;41;CALZADO;ZAPATO;ZAPATO HOMBRES;;642070 - 7507 PIZZONNI ZAPATO LONA 2021;7507 PIZZONNI ZAPATO LONA 2021 GRIS  41;PIZZONNI
1,00;EZEIZA MORA HERNAN ARIEL (SIRIS);6.183,57;VERANO MODA;05/02/2023;ORO;37;CALZADO;ZUECOS;ZUECOS MODA;6-12 SIN INTERES 6-12 SIN INTERES|LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;641786 - 703 SIRIS ZUECO MODA 2021;703 SIRIS ZUECO MODA 2021 ORO 37;SIRIS
1,00;;927,39;CLASICO;05/02/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;;1.124,99;CLASICO;05/02/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;CIRON S.A. (SAVAGE);15.003,12;CLASICO;05/02/2023;NEGRO;40;CALZADO;ZAPATILLAS;URBANAS;;642484 - LR 40 SAVAGE ZAPATILLA URB 2022;LR 40 SAVAGE ZAPATILLA URB 2022 NEGRO 40;SAVAGE
1,00;FLY SHOES S.A. (edwin guerra);7.314,00;VERANO MODA;05/02/2023;NEGRO/ANIMAL;38;CALZADO;SANDALIAS;SANDALIAS SNEAKERS;;644411 - 478 EG SHOES SANDALIA SNEAKERS 2022;478 EG SHOES SANDALIA SNEAKERS 2022 NEGRO/ANIMAL 38;EG SHOES
1,00;GLOBAL BRANDS S.A.;6.511,00;VERANO;05/02/2023;NEGRO/ROSA;39;CALZADO;OJOTAS Y CHINELAS;OJOTAS;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;644346 - 61686 RIDER OJOTA 2022;61686 RIDER OJOTA 2022 NEGRO/ROSA 39;RIDER
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);8.025,91;VERANO MODA;05/02/2023;CREMA;36;CALZADO;ZUECOS;ZUECOS MODA;;643920 - 6472/100/7286 VIZZANO ZUECO T/A 2022;6472/100/7286 VIZZANO ZUECO T/M 2022 CREMA 36;VIZZANO
1,00;CIRON S.A. (SAVAGE);15.003,12;CLASICO;05/02/2023;NEGRO;37;CALZADO;ZAPATILLAS;URBANAS;;642484 - LR 40 SAVAGE ZAPATILLA URB 2022;LR 40 SAVAGE ZAPATILLA URB 2022 NEGRO 37;SAVAGE
1,00;MEILY SA;11.117,92;CLASICO;05/02/2023;FUCSIA;24;CALZADO;ZAPATILLAS;ZAPATILLAS LUCES;STOCK INMOVILIZADO 2023 ;640360 - WOW442 FOOTY ZAPATILLA LUCES 2021;WOW442 FOOTY ZAPATILLA LUCES 2021 FUCSIA 24;FOOTY
1,00;MEILY SA;11.117,92;CLASICO;05/02/2023;FUCSIA;29;CALZADO;ZAPATILLAS;ZAPATILLAS LUCES;STOCK INMOVILIZADO 2023 ;640360 - WOW442 FOOTY ZAPATILLA LUCES 2021;WOW442 FOOTY ZAPATILLA LUCES 2021 FUCSIA 29;FOOTY
1,00;ZATEL ADRIAN RAMON (Target);29.990,00;COLEGIAL;05/02/2023;ROSA;18;MARROQUINERIA;MOCHILAS;MOCHILAS CON CARRO;;642211 - 26932C TRENDY MOCHILA C/CARRO 18pulg 2021;26932C TRENDY MOCHILA C/CARRO 18pulg 20211 ROSA 18;TRENDY
1,00;ZATEL ADRIAN RAMON (Target);29.990,00;COLEGIAL;05/02/2023;NEGRO;18;MARROQUINERIA;MOCHILAS;MOCHILAS CON CARRO;;644651 - 27355 EVERLAST MOCHILA C/CARRO 18pulg 2022;27355 EVERLAST MOCHILA C/CARRO 18pulg 20222 NEGRO 18;EVERLAST
1,00;;2.229,99;CLASICO;05/02/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;;1.084,99;CLASICO;05/02/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;;719,99;CLASICO;05/02/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;;2.524,99;CLASICO;05/02/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);16.789,00;CLASICO;05/02/2023;BLANCO/AMARILLO;36;CALZADO;ZAPATILLAS;DEPORTIVAS;NICO OPORTUNIDAD ABRIL ;641295 - 4816/102/22336 ACTVITTA ZAPATILLA DEP 2021;4816/102/22336 ACTVITTA ZAPATILLA DEP 2021 BLANCO/AMARILLO 36;ACTVITTA
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);15.437,07;VERANO MODA;05/02/2023;NEGRO;38;CALZADO;SANDALIAS;SANDALIAS TACO MEDIO;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;643915 - 6262/1002/7286 VIZZANO SANDALIA T/M 2022;6262/1002/7286 VIZZANO SANDALIA T/M 2022 NEGRO 38;VIZZANO
1,00;ZATEL ADRIAN RAMON (Target);2.989,99;CLASICO;05/02/2023;FUCSIA;UNICO;UTILES ESCOLARES Y LIBRERIA GENERAL;ESCOLARES;CARTUCHERAS;;644618 - 15509 EVERLAST CARTUCHERA 2022;15509 EVERLAST CARTUCHERA 2022 FUCSIA UNICO;EVERLAST
1,00;JOSE FREIBERG S.A.C.I.;7.990,01;COLEGIAL;05/02/2023;VARIOS;UNICO;UTILES ESCOLARES Y LIBRERIA GENERAL;ESCOLARES;SET UTILES;; - ;COMBO 4to A 6to FREIBERG UTILES ESCOLARES 2021 VARIOS UNICO;FREIBERG
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);25.094,00;CLASICO;05/02/2023;PLATA/BLANCO;39;CALZADO;ZAPATILLAS;URBANAS;STOCK INMOVILIZADO 2023 ;641301 - 1331/114/21488 VIZZANO ZAPATILLA SNEAKERS 2021;1331/114/21488 VIZZANO ZAPATILLA SNEAKERS 2021 PLATA/BLANCO 39;VIZZANO
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);5.838,54;VERANO MODA;05/02/2023;NEGRO;38;CALZADO;SANDALIAS;SANDALIAS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;643607 - 5297/439/22202 MOLECA SANDALIA 2022;5297/439/22202 MOLECA SANDALIA 2022 NEGRO 38;MOLECA
1,00;FABINCAL CORDOBA S.A;12.143,08;COLEGIAL;05/02/2023;NEGRO;38;CALZADO;ZAPATO;ZAPATO ESCOLAR;;AC-5440242 - 534 ESCARPINO ZAPATO ABROJO 2019;534 ESCARPINO ZAPATO ABROJO 2019 NEGRO 38;ESCARPINO
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);12.595,92;INVIERNO MODA;05/02/2023;VINO;38;CALZADO;BOTAS Y BORCEGOS;BOTAS;;643116 - 3076/101/20188 VIZZANO BOTA CORTA 2022;3076/101/20188 VIZZANO BOTA CORTA 2022 VINO 38;VIZZANO
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);15.798,99;VERANO MODA;05/02/2023;NEGRO;37;CALZADO;SANDALIAS;SANDALIAS TACO ALTO;;641315 - 6292/200/13488 VIZZANO SANDALIA T/A 2021;6292/200/13488 VIZZANO SANDALIA T/A 2021 NEGRO 37;VIZZANO
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);15.798,99;VERANO MODA;05/02/2023;BLANCO;38;CALZADO;SANDALIAS;SANDALIAS TACO ALTO;;641315 - 6292/200/13488 VIZZANO SANDALIA T/A 2021;6292/200/13488 VIZZANO SANDALIA T/A 2021 BLANCO 38;VIZZANO
1,00;MEILY SA;11.117,92;CLASICO;05/02/2023;FUCSIA;27;CALZADO;ZAPATILLAS;ZAPATILLAS LUCES;STOCK INMOVILIZADO 2023 ;640360 - WOW442 FOOTY ZAPATILLA LUCES 2021;WOW442 FOOTY ZAPATILLA LUCES 2021 FUCSIA 27;FOOTY
1,00;PRIMER ROUND SRL.;1.662,32;CLASICO;05/02/2023;NEGRO;22;CALZADO;ZAPATILLAS;PANCHA DEPORTIVA;STOCK INMOVILIZADO 2023 ;AC-0830729 - 900 JAGUAR PANCHA DEP 2021;900 JAGUAR ZAPATILLA 2021 NEGRO 22;JAGUAR
1,00;LESEDIFE S.A.;8.999,00;COLEGIAL;05/02/2023;BEIGE;UNICO;MARROQUINERIA;MOCHILAS;MOCHILA;;644629 - 91/2815 LSYD MOCHILA 2022;91/2815 LSYD MOCHILA 2022 BEIGE UNICO;LSYD
1,00;LAUTIN ACCESORIOS S.R.L.(LIMA -CHIMOLA);30.869,00;COLEGIAL;05/02/2023;AZUL/VERDE;16;MARROQUINERIA;MOCHILAS;MOCHILAS CON CARRO;;644448 - BT35 CHIMOLA MOCHILA C/CARRO 16pulg 2022;BT35 CHIMOLA MOCHILA C/CARRO 16pulg 2022 AZUL/VERDE 16;CHIMOLA
1,00;;1.809,99;CLASICO;05/02/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;ARIAN S SRL FCA. CALZADO FINO;8.693,08;COLEGIAL;05/02/2023;NEGRO;35;CALZADO;ZAPATO;ZAPATO ESCOLAR;;AC-1080443 - 2956 ARIAN`S ZAPATO 2018;2956 ARIAN`S ZAPATO 2018 NEGRO 35;ARIAN`S
1,00;PIZZONESI S.R.L.;11.562,32;CLASICO;05/02/2023;GRIS;43;CALZADO;ZAPATO;ZAPATO HOMBRES;;642070 - 7507 PIZZONNI ZAPATO LONA 2021;7507 PIZZONNI ZAPATO LONA 2021 GRIS 43;PIZZONNI
1,00;JOSE FREIBERG S.A.C.I.;7.990,01;COLEGIAL;05/02/2023;VARIOS;UNICO;UTILES ESCOLARES Y LIBRERIA GENERAL;ESCOLARES;SET UTILES;; - ;COMBO 4to A 6to FREIBERG UTILES ESCOLARES 2021 VARIOS UNICO;FREIBERG
1,00;JOSE FREIBERG S.A.C.I.;7.990,01;COLEGIAL;05/02/2023;VARIOS;UNICO;UTILES ESCOLARES Y LIBRERIA GENERAL;ESCOLARES;SET UTILES;; - ;COMBO 4to A 6to FREIBERG UTILES ESCOLARES 2021 VARIOS UNICO;FREIBERG
1,00;LESEDIFE S.A.;8.999,00;COLEGIAL;05/02/2023;ROSA;UNICO;MARROQUINERIA;MOCHILAS;MOCHILA;;644629 - 91/2815 LSYD MOCHILA 2022;91/2815 LSYD MOCHILA 2022 ROSA UNICO;LSYD
1,00;;1.030,19;CLASICO;05/02/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);5.848,99;VERANO MODA;05/02/2023;NEGRO;38;CALZADO;SANDALIAS;SANDALIAS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;629070 - 5454/101/375 MOLECA SANDALIA 2020;5454/101/375 MOLECA SANDALIA 2020 NEGRO 38;MOLECA
1,00;VICBOR S.R.L.;7.514,32;CLASICO;05/02/2023;NEGRO;31;CALZADO;ZAPATILLAS;DEPORTIVAS;STOCK INMOVILIZADO 2023 ;628715 - SUCRE ATOMIK ZAPATILLA DEP. 2020;SUCRE ATOMIK ZAPATILLA DEP. 2020 NEGRO 31;ATOMIK
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);17.934,12;CLASICO;05/02/2023;VINO;37;CALZADO;ZAPATO;STILETTO TACO ALTO;;642651 - 1344/101/20186 VIZZANO ZAPATO T/A 2022;1344/101/20186 VIZZANO ZAPATO T/A 2022 VINO 37;VIZZANO
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);8.025,91;VERANO MODA;05/02/2023;NEGRO;37;CALZADO;ZUECOS;ZUECOS MODA;;643920 - 6472/100/7286 VIZZANO ZUECO T/A 2022;6472/100/7286 VIZZANO ZUECO T/M 2022 NEGRO 37;VIZZANO
1,00;PABLO RODRIGO CALFAYAN( PIA VITTELLI);11.493,87;INVIERNO MODA;05/02/2023;NEGRO;37;CALZADO;BOTAS Y BORCEGOS;BOTAS;NICO OPORTUNIDAD JULIO |LIQUIDACION INVIERNO 2023 ;630130 - DENVER PIAVITTELLI BOTA 2021;DENVER PIAVITTELLI BOTA 2021 NEGRO 37;PIAVITTELLI
1,00;SONNTAG NAHUEL FACUNDO;10.229,07;INVIERNO MODA;05/02/2023;VERDE;36;CALZADO;BOTAS Y BORCEGOS;PANTUBOTAS;LIQUIDACION INVIERNO 2023 ;643185 - MOTZA ARAQUINA BOTA SKY 2022;MOTZA ARAQUINA BOTA SKY 2022 VERDE 36;ARAQUINA
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);12.888,87;VERANO MODA;05/02/2023;PLATA;35;CALZADO;SANDALIAS;SANDALIAS TACO ALTO;6-12 SIN INTERES 6-12 SIN INTERES|LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;643418 - 1395/103/24311 VIZZANO SANDALIA T/A 2022;1395/103/24311 VIZZANO SANDALIA T/A 2022 PLATA 35;VIZZANO
1,00;ZATEL ADRIAN RAMON (Target);8.299,00;CLASICO;05/02/2023;AZUL/CELESTE;UNICO;MARROQUINERIA;MOCHILAS;MOCHILA;;643188 - 21359 EVERLAST MOCHILA 2022;21359 EVERLAST MOCHILA 2022 AZUL/CELESTE UNICO;EVERLAST
1,00;ZATEL ADRIAN RAMON (Target);29.990,00;COLEGIAL;05/02/2023;ROSA;18;MARROQUINERIA;MOCHILAS;MOCHILAS CON CARRO;;642211 - 26932C TRENDY MOCHILA C/CARRO 18pulg 2021;26932C TRENDY MOCHILA C/CARRO 18pulg 20211 ROSA 18;TRENDY
1,00;;1.465,00;CLASICO;05/02/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;;1.439,98;CLASICO;05/02/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;RIMON CASSIS E HIJOS S.A.;2.519,00;VERANO;05/02/2023;ROSA;37;CALZADO;OJOTAS Y CHINELAS;OJOTAS;;643956 - 61701 COPACABANA OJOTA 82792 2022;61701 COPACABANA OJOTA 82792 2022 ROSA 37;COPACABANA
1,00;ANSOPAZ S.A.;8.908,00;CLASICO;05/02/2023;NEGRO/PLATA;42;CALZADO;BOTINES;BOTINES F11;;643405 - C14 ONITY BOTIN F11 2022;C14 ONITY BOTIN F11 2022 NEGRO/PLATA 42;ONITY
1,00;ZONA 93 S.A.;6.863,12;CLASICO;05/02/2023;GRIS/ROSA;35;CALZADO;ZAPATILLAS;DEPORTIVAS;STOCK INMOVILIZADO 2023 ;640331 - SF0917 SETA ZAPATILLA DEP 2021;SF0917 SETA ZAPATILLA DEP 2021 GRIS/ROSA 35;SETA
1,00;EZEIZA MORA HERNAN ARIEL (SIRIS);9.879,00;VERANO MODA;05/02/2023;NATURAL/ORO;38;CALZADO;SANDALIAS;SANDALIAS TACO MEDIO;6-12 SIN INTERES 6-12 SIN INTERES|LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;642130 - 784 SIRIS SANDALIA 2021;784 SIRIS SANDALIA 2021 NATURAL/ORO 38;SIRIS
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);4.949,00;VERANO MODA;05/02/2023;NEGRO;40;CALZADO;SANDALIAS;SANDALIAS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;628853 - 8387/505/16773 BEIRA RIO SANDALIA 2020;8387/505/16773 BEIRA RIO SANDALIA 2020 NEGRO 40;BEIRA RIO
1,00;LAUTIN ACCESORIOS S.R.L.(LIMA -CHIMOLA);6.990,00;COLEGIAL;05/02/2023;LILA;UNICO;UTILES ESCOLARES Y LIBRERIA GENERAL;ESCOLARES;CARTUCHERAS;;644484 - TR49 CHIMOLA CARTUCHERA 2022;TR49 CHIMOLA CARTUCHERA 2022 LILA UNICO;CHIMOLA
2,00;JOSE FREIBERG S.A.C.I.;13.776,00;COLEGIAL;05/02/2023;VARIOS;UNICO;UTILES ESCOLARES Y LIBRERIA GENERAL;ESCOLARES;SET UTILES;; - ;COMBO 1er A 3er FREIBERG UTILES ESCOLARES 2021 VARIOS UNICO;FREIBERG
1,00;JOSE FREIBERG S.A.C.I.;7.990,00;COLEGIAL;05/02/2023;VARIOS;UNICO;UTILES ESCOLARES Y LIBRERIA GENERAL;ESCOLARES;SET UTILES;; - ;COMBO 4to A 6to FREIBERG UTILES ESCOLARES 2021 VARIOS UNICO;FREIBERG
1,00;LESEDIFE S.A.;5.499,00;CLASICO;05/02/2023;MARRON;UNICO;MARROQUINERIA;ACCESORIOS DE MARROQUINERIA;BILLETERA;;643228 - B516 WILSON BILLETERA 2022;B516 WILSON BILLETERA 2022 MARRON UNICO;WILSON
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);9.279,01;VERANO MODA;05/02/2023;NEGRO;38;CALZADO;SANDALIAS;SANDALIAS TACO BAJO;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;643366 - 7109/459/13554 MODARE SANDALIA T/B 2022;7109/459/13554 MODARE SANDALIA T/B 2022 NEGRO 38;MODARE
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);11.518,99;VERANO MODA;05/02/2023;NEGRO;40;CALZADO;SANDALIAS;SANDALIAS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;643422 - 6283/2000/21994 VIZZANO SANDALIA 2022;6283/2000/21994 VIZZANO SANDALIA 2022 NEGRO 40;VIZZANO
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);6.278,00;VERANO MODA;05/02/2023;NEGRO;37;CALZADO;SANDALIAS;SANDALIAS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;643608 - 5435/424/13972 MOLECA SANDALIA 2022;5435/424/13972 MOLECA SANDALIA 2022 NEGRO 37;MOLECA
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);4.949,00;VERANO MODA;05/02/2023;AMARILLO/NEGRO;39;CALZADO;SANDALIAS;SANDALIAS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;628853 - 8387/505/16773 BEIRA RIO SANDALIA 2020;8387/505/16773 BEIRA RIO SANDALIA 2020 AMARILLO/NEGRO 39;BEIRA RIO
1,00;FLY SHOES S.A. (edwin guerra);7.314,00;VERANO MODA;05/02/2023;NEGRO/ANIMAL;37;CALZADO;SANDALIAS;SANDALIAS SNEAKERS;;644411 - 478 EG SHOES SANDALIA SNEAKERS 2022;478 EG SHOES SANDALIA SNEAKERS 2022 NEGRO/ANIMAL 37;EG SHOES
1,00;GLOBAL BRANDS S.A.;6.511,00;VERANO;05/02/2023;NEGRO/ROSA;39;CALZADO;OJOTAS Y CHINELAS;OJOTAS;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;644346 - 61686 RIDER OJOTA 2022;61686 RIDER OJOTA 2022 NEGRO/ROSA 39;RIDER
1,00;ANSOPAZ S.A.;9.789,00;CLASICO;05/02/2023;NEGRO/NARANJA;44;CALZADO;BOTINES;BOTINES F11;;643407 - C12 ONITY BOTIN F11 2022;C12 ONITY BOTIN F11 2022 NEGRO/NARANJA 44;ONITY
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);9.899,00;VERANO MODA;05/02/2023;NEGRO;37;CALZADO;ZUECOS;ZUECOS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;644018 - 8453/218/24614 BEIRA RIO ZUECO T/B 2022;8453/218/24614 BEIRA RIO ZUECO T/B 2022 NEGRO 37;BEIRA RIO
1,00;PABLO RODRIGO CALFAYAN( PIA VITTELLI);12.628,47;INVIERNO MODA;05/02/2023;NATURAL;37;CALZADO;BOTAS Y BORCEGOS;BORCEGOS;LIQUIDACION INVIERNO 2023 ;630125 - RHONDA PIAVITTELLI BORCEGO 2021;RHONDA PIAVITTELLI BORCEGO 2021 NATURAL 37;PIAVITTELLI
1,00;PABLO RODRIGO CALFAYAN( PIA VITTELLI);11.493,87;INVIERNO MODA;05/02/2023;NEGRO;37;CALZADO;BOTAS Y BORCEGOS;BOTAS;NICO OPORTUNIDAD JULIO |LIQUIDACION INVIERNO 2023 ;630130 - DENVER PIAVITTELLI BOTA 2021;DENVER PIAVITTELLI BOTA 2021 NEGRO 37;PIAVITTELLI
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);4.019,00;VERANO MODA;05/02/2023;AZUL/GRIS;30;CALZADO;SANDALIAS;SANDALIAS PLAYERAS;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;643395 - 2400/139/13958 MOLEKINHO SANDALIA PLAY. 2022;2400/139/13958 MOLEKINHO SANDALIA PLAY. 2022 AZUL/GRIS 30;MOLEKINHO
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);10.266,27;VERANO MODA;05/02/2023;NEGRO;38;CALZADO;SANDALIAS;SANDALIAS TACO ALTO;6-12 SIN INTERES 6-12 SIN INTERES|LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;643416 - 1395/101/7286 VIZZANO SANDALIA T/A 2022;1395/101/7286 VIZZANO SANDALIA T/A 2022 NEGRO 38;VIZZANO
